school_name,phase 2A vacancies,day_1 phase 2A applicants,day_2 phase 2A applicants,19/07/2023 phase 2A vacancies,19/07/2023 phase 2A applicants,20/07/2023 phase 2A vacancies,20/07/2023 phase 2A applicants,20/07/2023 phase 2A ballot_criteria,24/07/2023 phase 2B vacancies,24/07/2023 phase 2B applicants,24/07/2023 phase 2B ballot_criteria,25/07/2023 phase 2B vacancies,25/07/2023 phase 2B applicants,25/07/2023 phase 2B ballot_criteria,26/07/2023 phase 2B vacancies,26/07/2023 phase 2B applicants,26/07/2023 phase 2B ballot_criteria,27/07/2023 phase 2B vacancies,27/07/2023 phase 2B applicants,27/07/2023 phase 2B ballot_criteria,28/07/2023 phase 2B vacancies,28/07/2023 phase 2B applicants,28/07/2023 phase 2B ballot_criteria,31/07/2023 phase 2C vacancies,31/07/2023 phase 2C max pr vacancies,31/07/2023 phase 2C applicants,31/07/2023 phase 2C ballot_criteria,01/08/2023 phase 2C vacancies,01/08/2023 phase 2C max pr vacancies,01/08/2023 phase 2C applicants,01/08/2023 phase 2C ballot_criteria,03/08/2023 phase 2C vacancies,03/08/2023 phase 2C max pr vacancies,03/08/2023 phase 2C applicants,03/08/2023 phase 2C ballot_criteria,10/08/2023 phase 2C vacancies,10/08/2023 phase 2C max pr vacancies,10/08/2023 phase 2C applicants,10/08/2023 phase 2C ballot_criteria,14/08/2023 phase 2C vacancies,14/08/2023 phase 2C max pr vacancies,14/08/2023 phase 2C applicants,14/08/2023 phase 2C ballot_criteria
St. Stephen's School,150,17,22,150,23,150,23,-,62,25,-,62,25,-,62,25,-,62,25,-,62,28,-,159,-,-,-,160,-,41,-,160,-,51,-,160,-,58,-,160,-,58,-
Tampines North Primary School,96,9,16,96,18,96,18,-,46,0,-,46,0,-,46,0,-,46,0,-,46,0,-,138,-,-,-,138,-,31,-,138,-,39,-,138,-,47,-,138,-,47,-
Tampines Primary School,103,49,57,103,62,103,62,-,34,0,-,34,0,-,34,0,-,34,0,-,34,0,-,102,-,-,-,102,-,51,-,102,-,68,-,102,-,92,-,102,-,92,-
Tanjong Katong Primary School,69,20,27,69,33,69,33,-,32,12,-,32,12,-,32,12,-,32,12,-,32,13,-,83,-,-,-,84,-,97,-,85,-,113,-,87,-,108,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",87,-,108,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Tao Nan School,117,112,132,117,138,117,138,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,52,-,20,52,-,20,52,-,20,52,-,20,68,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",40,-,-,-,40,-,74,-,41,-,91,-,41,-,95,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",41,-,95,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Teck Ghee Primary School,44,11,16,44,16,44,16,-,29,4,-,29,4,-,29,4,-,29,4,-,29,5,-,83,-,-,-,83,-,44,-,83,-,52,-,84,-,64,-,84,-,64,-
Teck Whye Primary School,106,18,21,106,21,106,21,-,48,0,-,48,0,-,48,0,-,48,0,-,48,2,-,143,-,-,-,143,-,13,-,143,-,18,-,143,-,19,-,143,-,19,-
Telok Kurau Primary School,109,24,31,109,33,109,33,-,45,0,-,45,0,-,45,0,-,45,0,-,46,0,-,137,-,-,-,138,-,41,-,138,-,49,-,138,-,56,-,138,-,56,-
Temasek Primary School,56,45,54,56,59,56,59,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,11,-,20,11,-,20,11,-,20,11,-,20,12,-,48,-,-,-,48,-,92,-,48,-,113,-,48,-,116,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",48,-,116,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Townsville Primary School,60,6,9,61,17,61,17,-,35,1,-,35,1,-,35,1,-,35,1,-,35,1,-,103,-,-,-,103,-,18,-,104,-,23,-,104,-,27,-,104,-,27,-
Unity Primary School,38,4,10,38,10,38,10,-,29,0,-,29,0,-,29,0,-,29,0,-,29,0,-,88,-,-,-,88,-,35,-,88,-,41,-,88,-,44,-,88,-,44,-
Valour Primary School,107,63,75,107,82,107,82,-,28,1,-,28,1,-,28,1,-,28,1,-,28,1,-,84,-,-,-,84,-,74,-,84,-,94,-,84,-,102,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",84,-,102,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Waterway Primary School,120,53,59,120,61,120,61,-,40,1,-,40,1,-,40,1,-,40,1,-,40,1,-,118,-,-,-,120,-,45,-,120,-,53,-,120,-,77,-,120,-,77,-
Wellington Primary School,72,60,79,72,85,72,85,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,3,-,20,3,-,20,3,-,20,3,-,20,6,-,54,-,-,-,54,-,78,-,54,-,103,-,55,-,108,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",55,-,108,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
West Grove Primary School,73,7,7,73,7,73,7,-,42,1,-,42,1,-,42,1,-,42,1,-,42,1,-,125,-,-,-,125,-,31,-,126,-,40,-,126,-,45,-,126,-,45,-
West Spring Primary School,87,46,65,87,69,87,69,-,26,2,-,26,2,-,26,2,-,26,2,-,26,2,-,76,-,-,-,77,-,61,-,78,-,70,-,79,-,85,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",79,-,85,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
West View Primary School,45,15,21,45,23,45,23,-,27,0,-,27,0,-,27,0,-,27,0,-,27,1,-,81,-,-,-,82,-,29,-,82,-,38,-,82,-,41,-,82,-,41,-
Westwood Primary School,90,62,77,90,82,90,82,-,23,10,-,23,10,-,23,10,-,23,10,-,23,10,-,58,-,-,-,58,-,60,-,58,-,77,-,59,-,82,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",59,-,82,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
White Sands Primary School,42,17,22,42,23,42,23,-,26,3,-,26,3,-,26,3,-,26,3,-,26,3,-,76,-,-,-,77,-,60,-,78,-,78,-,78,-,86,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",78,-,86,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Woodgrove Primary School,61,8,9,61,10,61,10,-,37,6,-,37,6,-,37,6,-,37,6,-,37,8,-,103,-,-,-,103,-,70,-,103,-,90,-,103,-,99,-,103,-,99,-
Woodlands Primary School,81,22,32,81,33,81,33,-,36,7,-,36,7,-,36,7,-,36,7,-,36,8,-,100,-,-,-,102,-,65,-,102,-,75,-,102,-,87,-,102,-,87,-
Woodlands Ring Primary School,65,14,17,65,20,65,20,-,35,0,-,35,0,-,35,0,-,35,0,-,35,0,-,105,-,-,-,105,-,43,-,105,-,49,-,105,-,53,-,105,-,53,-
Xinghua Primary School,152,8,9,152,10,152,10,-,67,0,-,67,0,-,67,0,-,67,0,-,67,0,-,202,-,-,-,203,-,18,-,203,-,29,-,203,-,34,-,203,-,34,-
Xingnan Primary School,101,11,16,101,18,101,18,-,48,0,-,48,0,-,48,0,-,48,0,-,48,0,-,143,-,-,-,143,-,31,-,143,-,40,-,143,-,43,-,143,-,43,-
Xinmin Primary School,81,38,52,81,54,81,54,-,29,17,-,29,17,-,29,17,-,29,17,-,29,26,-,61,-,-,-,61,-,81,-,62,-,99,-,62,-,100,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",62,-,100,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Xishan Primary School,87,18,26,87,29,87,29,-,39,1,-,39,1,-,39,1,-,39,1,-,39,2,-,116,-,-,-,116,-,29,-,116,-,34,-,116,-,43,-,116,-,43,-
Yangzheng Primary School,34,29,38,34,38,34,38,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,11,-,20,11,-,20,11,-,20,11,-,20,14,-,46,-,-,-,46,-,49,-,46,-,60,-,48,-,77,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",48,-,77,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Yew Tee Primary School,67,3,4,67,6,67,6,-,40,1,-,40,1,-,40,1,-,40,1,-,40,3,-,118,-,-,-,118,-,35,-,118,-,42,-,118,-,45,-,118,-,45,-
