school_name,total_vacancies,phase 1 vacancies,phase 1 applicants,phase 1 ballot_vacancies,phase 1 ballot_applicants,phase 1 ballot_criteria,phase 2A vacancies,phase 2A applicants,phase 2A ballot_vacancies,phase 2A ballot_applicants,phase 2A ballot_criteria,phase 2B vacancies,phase 2B applicants,phase 2B ballot_vacancies,phase 2B ballot_applicants,phase 2B ballot_criteria,phase 2C vacancies,phase 2C applicants,phase 2C ballot_vacancies,phase 2C ballot_applicants,phase 2C ballot_criteria,phase 2C S vacancies,phase 2C S applicants,phase 2C S ballot_vacancies,phase 2C S ballot_applicants,phase 2C S ballot_criteria
Princess Elizabeth Primary School,200,-,-,-,-,-,42,60,11,13,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,20,5,-,-,-,55,278,55,250,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Punggol Cove Primary School,250,-,-,-,-,-,91,58,-,-,-,31,1,-,-,-,93,82,-,-,-,-,-,-,-,-
Punggol Green Primary School,250,-,-,-,-,-,68,99,68,94,Conducted for: Singapore Citizen children residing within 1km of the school.,20,4,-,-,-,56,127,56,125,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Punggol Primary School,190,-,-,-,-,-,46,22,-,-,-,28,6,-,-,-,78,129,78,103,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Punggol View Primary School,250,-,-,-,-,-,65,82,2,12,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,20,0,-,-,-,61,74,8,39,Conducted for: Permanent Resident children residing within 1km of the school.,-,-,-,-,-
Qifa Primary School,280,-,-,-,-,-,116,43,-,-,-,44,22,-,-,-,111,131,37,38,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,-,-,-,-,-
Qihua Primary School,240,-,-,-,-,-,121,19,-,-,-,54,5,-,-,-,158,56,-,-,-,102,14,-,-,-
Queenstown Primary School,210,-,-,-,-,-,74,16,-,-,-,40,0,-,-,-,121,115,-,-,-,-,-,-,-,-
Radin Mas Primary School,200,-,-,-,-,-,55,62,6,13,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,20,-,-,-,40,82,40,54,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Raffles Girls' Primary School,270,-,-,-,-,-,121,52,-,-,-,43,39,-,-,-,90,125,90,95,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Red Swastika School,240,-,-,-,-,-,64,94,10,40,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,26,20,23,Conducted for: Singapore Citizen children residing within 1km of the school.,42,81,42,63,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
River Valley Primary School,210,-,-,-,-,-,65,49,-,-,-,26,20,-,-,-,59,91,59,72,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Riverside Primary School,210,-,-,-,-,-,47,72,47,50,Conducted for: Singapore Citizen children residing within 1km of the school.,20,2,-,-,-,58,83,58,70,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Rivervale Primary School,210,-,-,-,-,-,47,14,-,-,-,31,12,-,-,-,81,126,81,114,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Rosyth School,270,-,-,-,-,-,73,113,40,42,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,20,24,20,24,Conducted for: Singapore Citizen children residing within 1km of the school.,41,125,41,124,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Rulang Primary School,270,-,-,-,-,-,90,107,16,33,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,34,20,25,Conducted for: Singapore Citizen children residing within 1km of the school.,40,95,40,80,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Sembawang Primary School,200,-,-,-,-,-,53,8,-,-,-,35,1,-,-,-,104,122,25,37,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,-,-,-,-,-
Seng Kang Primary School,210,-,-,-,-,-,90,4,-,-,-,49,0,-,-,-,148,19,-,-,-,129,68,-,-,-
Sengkang Green Primary School,280,-,-,-,-,-,110,100,-,-,-,23,21,-,-,-,49,120,49,119,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Shuqun Primary School,200,-,-,-,-,-,72,42,-,-,-,30,11,-,-,-,79,106,79,94,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Si Ling Primary School,150,-,-,-,-,-,45,8,-,-,-,32,0,-,-,-,97,17,-,-,-,80,12,-,-,-
Singapore Chinese Girls' Primary School,192,-,-,-,-,-,77,79,-,-,-,20,34,20,27,Conducted for: Singapore Citizen children residing within 1km of the school.,40,73,40,66,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
South View Primary School,270,-,-,-,-,-,78,95,13,20,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,20,30,20,27,Conducted for: Singapore Citizen children residing within 1km of the school.,40,177,40,175,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Springdale Primary School,280,-,-,-,-,-,99,74,-,-,-,29,0,-,-,-,87,81,-,-,-,-,-,-,-,-
St. Andrew's Junior School,240,-,-,-,-,-,118,66,-,-,-,37,31,-,-,-,82,124,82,105,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
St. Anthony's Canossian Primary School,240,-,-,-,-,-,149,9,-,-,-,67,6,-,-,-,194,41,-,-,-,153,51,-,-,-
St. Anthony's Primary School,220,-,-,-,-,-,73,38,-,-,-,32,39,12,15,Conducted for: Singapore Citizen children residing outside 2km of the school.,65,105,-,-,-,-,-,-,-,-
St. Gabriel's Primary School,150,-,-,-,-,-,61,20,-,-,-,34,24,-,-,-,77,77,-,-,-,-,-,-,-,-
St. Hilda's Primary School,270,-,-,-,-,-,69,94,4,29,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,40,20,33,Conducted for: Singapore Citizen children residing within 1km of the school.,41,144,41,125,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
St. Joseph's Institution Junior,240,-,-,-,-,-,107,56,-,-,-,38,84,5,27,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,78,106,17,30,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,-,-,-,-,-
St. Margaret's School (Primary),192,-,-,-,-,-,86,26,-,-,-,40,19,-,-,-,101,122,40,45,Conducted for: Singapore Citizen children residing outside 2km of the school.,-,-,-,-,-
St. Stephen's School,240,-,-,-,-,-,145,19,-,-,-,62,23,-,-,-,163,66,-,-,-,97,86,-,-,-
Tampines North Primary School,240,-,-,-,-,-,99,13,-,-,-,49,0,-,-,-,146,46,-,-,-,100,48,-,-,-
Tampines Primary School,240,-,-,-,-,-,89,66,-,-,-,28,2,-,-,-,86,81,-,-,-,-,-,-,-,-
Tanjong Katong Primary School,200,-,-,-,-,-,55,27,-,-,-,30,14,-,-,-,75,98,3,26,Conducted for: Singapore Citizen children residing outside 2km of the school.,-,-,-,-,-
Tao Nan School,360,-,-,-,-,-,136,127,-,-,-,23,61,23,57,Conducted for: Singapore Citizen children residing within 1km of the school.,47,99,47,97,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Teck Ghee Primary School,210,-,-,-,-,-,77,13,-,-,-,41,6,-,-,-,118,92,-,-,-,26,26,-,-,-
Teck Whye Primary School,240,-,-,-,-,-,123,12,-,-,-,57,0,-,-,-,172,27,-,-,-,145,43,-,-,-
Telok Kurau Primary School,190,-,-,-,-,-,51,28,-,-,-,28,2,-,-,-,83,72,-,-,-,-,-,-,-,-
Temasek Primary School,200,-,-,-,-,-,49,62,20,33,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,10,-,-,-,51,154,51,101,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Townsville Primary School,180,-,-,-,-,-,78,9,-,-,-,43,3,-,-,-,126,21,-,-,-,105,21,-,-,-
Unity Primary School,210,-,-,-,-,-,74,10,-,-,-,41,0,-,-,-,124,52,-,-,-,72,9,-,-,-
Valour Primary School,280,-,-,-,-,-,115,77,-,-,-,33,2,-,-,-,96,120,96,116,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Waterway Primary School,280,-,-,-,-,-,100,77,-,-,-,28,1,-,-,-,83,107,83,93,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Wellington Primary School,240,-,-,-,-,-,79,81,-,-,-,20,4,-,-,-,58,105,58,71,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
West Grove Primary School,240,-,-,-,-,-,110,15,-,-,-,52,8,-,-,-,147,99,-,-,-,48,58,-,-,-
West Spring Primary School,240,-,-,-,-,-,57,72,57,63,Conducted for: Singapore Citizen children residing within 1km of the school.,20,0,-,-,-,62,106,62,93,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
West View Primary School,160,-,-,-,-,-,53,29,-,-,-,28,0,-,-,-,84,35,-,-,-,49,26,-,-,-
Westwood Primary School,240,-,-,-,-,-,74,103,-,-,-,20,11,-,-,-,49,80,49,79,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
White Sands Primary School,180,-,-,-,-,-,56,10,-,-,-,35,14,-,-,-,92,112,1,5,Conducted for: Singapore Citizen children residing outside 2km of the school.,-,-,-,-,-
Woodgrove Primary School,180,-,-,-,-,-,34,18,-,-,-,25,5,-,-,-,71,104,71,78,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Woodlands Primary School,210,-,-,-,-,-,59,26,-,-,-,31,13,-,-,-,80,112,80,98,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Woodlands Ring Primary School,240,-,-,-,-,-,101,20,-,-,-,47,0,-,-,-,141,66,-,-,-,75,36,-,-,-
Xinghua Primary School,280,-,-,-,-,-,181,10,-,-,-,77,0,-,-,-,232,35,-,-,-,197,39,-,-,-
Xingnan Primary School,300,-,-,-,-,-,153,25,-,-,-,63,1,-,-,-,187,64,-,-,-,123,33,-,-,-
Xinmin Primary School,210,-,-,-,-,-,72,60,-,-,-,24,32,-,-,-,50,78,50,54,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Xishan Primary School,190,-,-,-,-,-,61,10,-,-,-,37,1,-,-,-,110,59,-,-,-,-,-,-,-,-
Yangzheng Primary School,160,-,-,-,-,-,33,29,-,-,-,22,9,-,-,-,58,101,58,62,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Yew Tee Primary School,210,-,-,-,-,-,83,4,-,-,-,46,1,-,-,-,138,60,-,-,-,78,32,-,-,-
Yio Chu Kang Primary School,200,-,-,-,-,-,85,5,-,-,-,47,0,-,-,-,141,36,-,-,-,105,93,-,-,-
Yishun Primary School,180,-,-,-,-,-,55,15,-,-,-,33,0,-,-,-,100,42,-,-,-,58,58,-,-,-
Yu Neng Primary School,180,-,-,-,-,-,42,43,-,-,-,20,10,-,-,-,52,83,52,67,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Yuhua Primary School,210,-,-,-,-,-,101,12,-,-,-,50,0,-,-,-,150,29,-,-,-,121,39,-,-,-
Yumin Primary School,180,-,-,-,-,-,60,11,-,-,-,36,0,-,-,-,109,20,-,-,-,89,41,-,-,-
Zhangde Primary School,180,-,-,-,-,-,45,11,-,-,-,31,1,-,-,-,93,92,-,-,-,-,-,-,-,-
Zhenghua Primary School,240,-,-,-,-,-,89,59,-,-,-,30,0,-,-,-,90,68,-,-,-,-,-,-,-,-
Zhonghua Primary School,150,-,-,-,-,-,62,6,-,-,-,39,1,-,-,-,115,7,-,-,-,108,30,-,-,-
